"b","n","selector","psi","lower","upper","PnEIC","sn"
1,500,"relax",3.14113457292616,2.94390374613472,3.33836539971761,1.28924738656422e-06,0.0161921671099949
1,500,"min_var",3.1311309746781,2.93747575583849,3.32478619351771,0.000198034591035145,0.0158986184674331
2,500,"relax",3.33100385669112,3.135092270821,3.52691544256124,-0.000322369576766595,0.0160838606661999
2,500,"min_var",3.33415750508338,3.14373636797435,3.52457864219241,-1.27012381479767e-05,0.0156331082899377
1,1000,"relax",3.1080625389719,2.96675905209867,3.24936602584513,0.000574646332833026,0.0104366198337978
1,1000,"min_var",3.14315330474174,3.00326610922709,3.28304050025638,-1.99388379820373e-05,0.0103320131124033
2,1000,"relax",3.06886855604179,2.93488340735086,3.20285370473273,-2.90671324001659e-05,0.00989609026079244
2,1000,"min_var",3.07016095366608,2.93912661834489,3.20119528898728,3.25601354408532e-05,0.009678144348615
1,1500,"relax",3.16194315258066,3.05237426278221,3.2715120423791,-9.43457338185069e-05,0.00764403256516201
1,1500,"min_var",3.1707933997112,3.06185780361922,3.27972899580318,-5.53399307075905e-05,0.00759985106688769
2,1500,"relax",3.10362522892157,2.99255064439394,3.2146998134492,0.000238901377184681,0.00774907679408744
2,1500,"min_var",3.11182135021614,3.00172218616467,3.22192051426761,3.85305098735154e-05,0.00768102694984563
1,2000,"relax",3.06143753544718,2.96386347715778,3.15901159373658,5.20572736518596e-06,0.0065495752728962
1,2000,"min_var",3.05844572886298,2.96156904558186,3.1553224121441,-2.36523666119253e-05,0.00650276457146365
2,2000,"relax",3.05878473595291,2.96089465820553,3.1566748137003,0.00243229145865312,0.00657078780893397
2,2000,"min_var",3.05518323522787,2.95887705780505,3.15148941265069,2.47466750734534e-05,0.00646446985329715
