"b","n","selector","psi","lower","upper","PnEIC","sn"
1,500,"relax",3.19097908964157,2.90821438754271,3.47374379174043,-0.00109361601789325,0.0232142884744584
1,500,"min_var",3.20148482033014,2.91903101414607,3.48393862651421,8.36711606111971e-05,0.0231887646824226
1,500,"TMLE",3.0484098157349,2.83254763419273,3.26427199727706,1.97619698383278e-16,NA
2,500,"relax",3.27786118682981,2.97036742915979,3.58535494449982,0.00111076057063561,0.0252444832811961
2,500,"min_var",3.15194518754959,2.85058270581372,3.45330766928546,0.000106272338850118,0.0247411205658522
2,500,"TMLE",3.1173026248603,2.8721844870379,3.3624207626827,-1.53960177939894e-16,NA
3,500,"relax",2.98310310555696,2.69079309106145,3.27541312005248,0.000877369051185838,0.0239979352093942
3,500,"min_var",2.89459126390994,2.62058891784354,3.16859360997634,7.69642846234144e-05,0.022494920536581
3,500,"TMLE",3.03425686433677,2.85469322835998,3.21382050031355,1.72750702631674e-16,NA
4,500,"relax",3.54718646272659,3.2312917624401,3.86308116301308,9.25548787976238e-05,0.0259341800640992
4,500,"min_var",3.23943624227524,2.9419488416609,3.53692364288958,-6.30048385285935e-05,0.0244229859106097
4,500,"TMLE",3.50102630809341,3.25145960829325,3.75059300789357,4.03233002543857e-16,NA
5,500,"relax",3.00330574296951,2.72040609568788,3.28620539025114,-0.000378491361882954,0.0232253671429692
5,500,"min_var",2.9298780702281,2.65494476800739,3.20481137244881,-8.34162143554771e-05,0.0225713497533924
5,500,"TMLE",3.11724953036807,2.87334257737072,3.36115648336542,-2.45137243837235e-16,NA
6,500,"relax",3.43682016643047,2.99457353576665,3.87906679709429,-0.00129311475430313,0.0363073636309029
6,500,"min_var",3.43682016643047,2.99457353576665,3.87906679709429,-0.00129311475430313,0.0363073636309029
6,500,"TMLE",2.91394915394588,2.7314884944493,3.09640981344247,9.85189501090389e-10,NA
7,500,"relax",3.57336874489307,3.30006303529168,3.84667445449447,-0.000268668986187026,0.0224377283915203
7,500,"min_var",3.57773825471401,3.31672046005061,3.83875604937741,-0.00102099478419645,0.0214289207150217
7,500,"TMLE",3.57423353960407,3.35651050564272,3.79195657356542,4.13002965160558e-16,NA
8,500,"relax",3.23481748895645,2.95244872369904,3.51718625421386,-0.000695728105061487,0.0231817830309329
8,500,"min_var",3.17831891691923,2.91003454802298,3.44660328581549,-8.33722310474792e-05,0.0220254886360189
8,500,"TMLE",3.14283353296842,2.95845582357643,3.32721124236041,9.6167518393031e-16,NA
9,500,"relax",2.89692275755405,2.59806054495224,3.19578497015587,-0.0032513833460572,0.02453585460263
9,500,"min_var",2.98171305016994,2.69079592296905,3.27263017737084,-0.000324336836470816,0.0238835825789925
9,500,"TMLE",2.92852465355766,2.70903284606086,3.14801646105447,2.13495887635418e-16,NA
10,500,"relax",3.12855485458374,2.83568181441255,3.42142789475493,-0.00418879005859079,0.0240441582363726
10,500,"min_var",3.17396908863306,2.88496295297648,3.46297522428964,8.33274771802006e-06,0.0237266948605021
10,500,"TMLE",3.00738972903649,2.79079698208234,3.22398247599064,-1.62092561595273e-17,NA
